Time stamp;;;Electrical load [MWh];;;;Water consumption [m3/h];;;Solar data [Wh/m2];;;Wind speed [10 magl] [m/s];;;Temperature at 2m [¡C];;
Month;Hour of the day;Hour of the year;Load A;Load B;Load A + random;Load B + random;Regime1 (m?/h);Regime2 (m?/h);Regime3 (m?/h); IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 
1;15;87;4.8;5.5;4.7;5.6;286.3;107.4;245.4;727.9;751.2413;561.13;4.108;4.35;4.474; 31.98 ;27.33;33.065
1;16;88;5.0;5.4;4.9;5.3;286.3;107.4;56.4;587.7;597.1378;476.46;4.892;4.39;5.072; 30.86 ;26.63;32.655
1;17;89;5.4;4.8;5.5;4.8;286.3;107.4;95.1;364.4;398.1701;273.23;4.975;4.32;5.207; 29.74 ;26.01;31.647
1;18;90;5.1;5.0;5.1;5.0;0.0;107.4;99.1;136.2;179.573;135.39;4.1;4.34;5.103; 28.62 ;25.49;30.286
1;19;91;4.8;5.1;4.7;5.1;0.0;107.4;121.6;23;16.631;19.4;3.4;4.21;4.608; 27.50 ;25.15;28.787
1;20;92;4.8;5.2;4.7;5.3;0.0;107.4;134.8;0;0;0;1.825;4.07;3.965; 27.37 ;24.97;28.017
1;21;93;5.1;5.3;5.2;5.4;0.0;107.4;121.6;0;0;0;0.958;3.91;3.435; 27.24 ;24.87;27.608
1;22;94;5.2;5.6;5.2;5.5;0.0;107.4;95.1;0;0;0;0.817;3.84;3.257; 27.11 ;24.81;27.379
1;23;95;5.1;5.5;5.2;5.6;0.0;107.4;40.9;0;0;0;1.283;3.87;3.524; 26.98 ;24.80;26.847
1;24;96;5.0;5.4;4.9;5.3;0.0;107.4;17.7;0;0;0;1.558;3.71;3.787; 26.85 ;24.77;26.397
1;1;97;4.6;4.0;4.5;4.0;0.0;107.4;9.6;0;0;0;1.867;3.6;3.773; 26.72 ;24.74;25.908
1;2;98;4.8;4.3;4.8;4.3;0.0;107.4;2.4;0;0;0;2.092;3.47;3.674; 26.58 ;24.72;25.499
1;3;99;4.8;4.6;4.8;4.6;0.0;107.4;3.6;0;0;0;1.725;3.45;3.164; 26.45 ;24.79;25.316
1;4;100;4.8;4.7;4.8;4.7;0.0;107.4;7.2;0;0;0;1.842;3.88;2.743; 26.32 ;25.41;25.144
1;5;101;4.7;4.6;4.7;4.5;0.0;107.4;15.6;0;0;0;1.792;4.13;2.624; 26.19 ;26.36;24.92
1;6;102;4.6;4.3;4.6;4.3;0.0;107.4;40.9;0;0;0;2.475;3.95;2.643; 26.06 ;27.32;24.79
1;7;103;4.6;4.9;4.7;4.9;0.0;107.4;108.4;0;0;0;1.992;3.83;2.573; 25.93 ;28.35;24.827
1;8;104;4.8;5.1;4.8;5.0;0.0;107.4;183.7;29;18.1736;26.68;2.758;3.81;2.813; 25.80 ;29.47;25.106
1;9;105;4.8;5.7;4.9;5.7;286.3;107.4;69.5;188.2;115.6619;169.26;3.833;3.93;3.626; 26.25 ;30.34;26.338
1;10;106;5.0;6.2;5.1;6.2;286.3;107.4;80.7;378.5;236.2914;330.83;3.4;4.14;3.673; 26.70 ;30.82;27.93
1;11;107;4.9;5.5;4.9;5.5;286.3;107.4;67.4;456.5;365.3087;467.69;3.475;4.44;3.654; 27.15 ;30.83;29.489
